timestamp,target,MAE,RMSE,R2,train_rows,test_rows,model_path
20260529_0959,pm2_5,1.2409345720409486,1.9215705872603543,0.9349585544567915,434,77,models/xgb_pm2_5_20260529_0959.pkl
20260529_0959,pm10,5.9598205098514105,17.305159571448588,0.7016217551644777,434,77,models/xgb_pm10_20260529_0959.pkl
20260530_0829,pm2_5,1.2087515623194487,1.866102209010768,0.9380577994427759,435,77,models/xgb_pm2_5_20260530_0829.pkl
20260530_0829,pm10,7.157009204022297,18.518380078114653,0.6579841091443173,435,77,models/xgb_pm10_20260530_0829.pkl
20260531_0847,pm2_5,1.103313064024734,1.842930938317164,0.9395274316667677,436,77,models/xgb_pm2_5_20260531_0847.pkl
20260531_0847,pm10,6.828638300820001,18.350314852110174,0.6654833013064605,436,77,models/xgb_pm10_20260531_0847.pkl
20260601_1136,pm2_5,1.0936021391822404,1.8314978874759618,0.9395462023121187,436,78,models/xgb_pm2_5_20260601_1136.pkl
20260601_1136,pm10,6.7427458879954445,18.23231102591971,0.665909270858311,436,78,models/xgb_pm10_20260601_1136.pkl
20260602_1025,pm2_5,1.1421202222166575,1.8087483554364217,0.9409192094068632,437,78,models/xgb_pm2_5_20260602_1025.pkl
20260602_1025,pm10,6.935092327737402,18.09746230089933,0.6708473456832393,437,78,models/xgb_pm10_20260602_1025.pkl
20260603_1101,pm2_5,1.1453493349232906,1.7858156901493953,0.9419280569393385,438,78,models/xgb_pm2_5_20260603_1101.pkl
20260603_1101,pm10,6.98499129803432,18.18943462869257,0.6660081141936469,438,78,models/xgb_pm10_20260603_1101.pkl
20260604_0957,pm2_5,1.0861225261307847,1.8064179808197207,0.9408456040630098,439,78,models/xgb_pm2_5_20260604_0957.pkl
20260604_0957,pm10,6.945688415049147,18.276513441500157,0.6619621341428692,439,78,models/xgb_pm10_20260604_0957.pkl
20260605_0952,pm2_5,1.1245367990260107,1.839402886064519,0.9386622154728028,440,78,models/xgb_pm2_5_20260605_0952.pkl
20260605_0952,pm10,6.703513533437353,18.17828896589617,0.6664570891187542,440,78,models/xgb_pm10_20260605_0952.pkl
20260606_0835,pm2_5,1.1539260231191957,1.8344964316899937,0.9383353689613254,441,78,models/xgb_pm2_5_20260606_0835.pkl
20260606_0835,pm10,6.572290172739926,18.105579509682386,0.6682097552576707,441,78,models/xgb_pm10_20260606_0835.pkl
20260607_0857,pm2_5,1.107779115149778,1.7739485453786552,0.9423532753449196,442,78,models/xgb_pm2_5_20260607_0857.pkl
20260607_0857,pm10,6.716609551628092,18.429442717644665,0.6555518449670654,442,78,models/xgb_pm10_20260607_0857.pkl
20260608_1057,pm2_5,1.094720357849293,1.7627060803677457,0.9424391390861445,442,79,models/xgb_pm2_5_20260608_1057.pkl
20260608_1057,pm10,6.652915698130591,18.31341022362537,0.6558103913617203,442,79,models/xgb_pm10_20260608_1057.pkl
20260609_0945,pm2_5,1.152778649900198,1.874697831023998,0.9351382346943758,443,79,models/xgb_pm2_5_20260609_0945.pkl
20260609_0945,pm10,6.92030540605805,18.253005054846366,0.6568463127422278,443,79,models/xgb_pm10_20260609_0945.pkl
20260610_1002,pm2_5,1.0759691265229603,1.8082189292780404,0.9386003596346801,444,79,models/xgb_pm2_5_20260610_1002.pkl
20260610_1002,pm10,6.488634356835386,17.911473621876596,0.6639695634612676,444,79,models/xgb_pm10_20260610_1002.pkl
20260612_1015,pm2_5,1.0579215362269832,1.8767770787630749,0.9332628771255136,446,79,models/xgb_pm2_5_20260612_1015.pkl
20260612_1015,pm10,6.3112008090763645,17.060315586308153,0.6950545806926312,446,79,models/xgb_pm10_20260612_1015.pkl
20260613_0918,pm2_5,1.0336214937405912,1.8099403203504696,0.9381936949169514,447,79,models/xgb_pm2_5_20260613_0918.pkl
20260613_0918,pm10,6.198100421867961,17.322267400646428,0.6845682795936539,447,79,models/xgb_pm10_20260613_0918.pkl
